id;id_doi;discipline;count
776;91;Psychology;1
777;92;Business, Management and Accounting;34
778;92;Economics, Econometrics and Finance;1
779;92;Unspecified;6
780;92;Biochemistry, Genetics and Molecular Biology;1
781;92;Computer Science;1
782;92;Social Sciences;8
783;92;Psychology;20
784;93;Social Sciences;1
785;93;Computer Science;2
786;94;Business, Management and Accounting;31
787;94;Economics, Econometrics and Finance;1
788;94;Decision Sciences;1
789;94;Nursing and Health Professions;1
790;94;Engineering;2
791;94;Medicine and Dentistry;1
792;94;Design;1
793;94;Unspecified;7
794;94;Social Sciences;5
795;94;Psychology;1
796;95;Business, Management and Accounting;3
797;95;Social Sciences;1
798;96;Business, Management and Accounting;90
799;96;Economics, Econometrics and Finance;3
800;96;Environmental Science;3
801;96;Unspecified;17
802;96;Engineering;4
803;96;Medicine and Dentistry;1
804;96;Biochemistry, Genetics and Molecular Biology;1
805;96;Arts and Humanities;2
806;96;Social Sciences;26
807;97;Business, Management and Accounting;56
808;97;Linguistics;1
809;97;Economics, Econometrics and Finance;2
810;97;Unspecified;18
811;97;Engineering;2
812;97;Design;1
813;97;Computer Science;15
814;97;Arts and Humanities;2
815;97;Biochemistry, Genetics and Molecular Biology;1
816;97;Social Sciences;20
817;97;Psychology;5
818;98;Business, Management and Accounting;89
819;98;Economics, Econometrics and Finance;1
820;98;Unspecified;13
821;98;Nursing and Health Professions;1
822;98;Engineering;3
823;98;Biochemistry, Genetics and Molecular Biology;1
824;98;Computer Science;3
825;98;Arts and Humanities;2
826;98;Agricultural and Biological Sciences;1
827;98;Social Sciences;38
828;98;Psychology;7
829;99;Business, Management and Accounting;55
830;99;Economics, Econometrics and Finance;4
831;99;Unspecified;7
832;99;Biochemistry, Genetics and Molecular Biology;1
833;99;Social Sciences;3
834;99;Psychology;5
835;100;Business, Management and Accounting;187
836;100;Linguistics;2
837;100;Physics and Astronomy;1
838;100;Philosophy;1
839;100;Psychology;38
840;100;Sports and Recreations;2
841;100;Environmental Science;1
842;100;Computer Science;10
843;100;Unspecified;25
844;100;Pharmacology, Toxicology and Pharmaceutical Science;1
845;100;Engineering;5
846;100;Medicine and Dentistry;4
847;100;Design;1
848;100;Arts and Humanities;8
849;100;Biochemistry, Genetics and Molecular Biology;1
850;100;Agricultural and Biological Sciences;2
851;100;Nursing and Health Professions;4
852;100;Social Sciences;60
853;100;Economics, Econometrics and Finance;11
854;101;Business, Management and Accounting;1
855;101;Engineering;1
856;101;Unspecified;1
857;102;Business, Management and Accounting;70
858;102;Physics and Astronomy;1
859;102;Psychology;11
860;102;Sports and Recreations;1
861;102;Unspecified;12
862;102;Engineering;2
863;102;Medicine and Dentistry;2
864;102;Design;1
865;102;Social Sciences;23
866;102;Economics, Econometrics and Finance;11
867;103;Business, Management and Accounting;15
868;103;Unspecified;2
869;103;Social Sciences;5
870;103;Computer Science;1
871;103;Psychology;1
872;104;Arts and Humanities;1
873;105;Business, Management and Accounting;82
874;105;Economics, Econometrics and Finance;4
875;105;Chemical Engineering;1
876;105;Unspecified;15
877;105;Nursing and Health Professions;1
878;105;Engineering;1
879;105;Computer Science;3
880;105;Arts and Humanities;2
881;105;Agricultural and Biological Sciences;1
882;105;Social Sciences;11
883;105;Psychology;2
884;106;Physics and Astronomy;1
885;107;Business, Management and Accounting;44
886;107;Economics, Econometrics and Finance;4
887;107;Unspecified;6
888;107;Design;1
889;107;Computer Science;1
890;107;Social Sciences;1
891;107;Psychology;2
892;108;Business, Management and Accounting;307
893;108;Energy;1
894;108;Psychology;19
895;108;Decision Sciences;1
896;108;Philosophy;1
897;108;Computer Science;5
898;108;Unspecified;42
899;108;Engineering;11
900;108;Design;2
901;108;Arts and Humanities;2
902;108;Neuroscience;1
903;108;Agricultural and Biological Sciences;1
904;108;Earth and Planetary Sciences;1
905;108;Social Sciences;38
906;108;Economics, Econometrics and Finance;14
907;109;Business, Management and Accounting;461
908;109;Physics and Astronomy;2
909;109;Nursing and Health Professions;1
910;109;Psychology;19
911;109;Sports and Recreations;2
912;109;Decision Sciences;2
913;109;Environmental Science;4
914;109;Computer Science;11
915;109;Unspecified;46
916;109;Biochemistry, Genetics and Molecular Biology;3
917;109;Engineering;7
918;109;Design;5
919;109;Arts and Humanities;2
920;109;Energy;2
921;109;Agricultural and Biological Sciences;2
922;109;Chemistry;1
923;109;Earth and Planetary Sciences;1
924;109;Social Sciences;57
925;109;Economics, Econometrics and Finance;26
926;110;Business, Management and Accounting;236
927;110;Linguistics;1
928;110;Psychology;4
929;110;Environmental Science;2
930;110;Immunology and Microbiology;1
931;110;Computer Science;6
932;110;Unspecified;24
933;110;Economics, Econometrics and Finance;23
934;110;Engineering;3
935;110;Medicine and Dentistry;1
936;110;Design;1
937;110;Chemical Engineering;1
938;110;Agricultural and Biological Sciences;3
939;110;Social Sciences;50
940;110;Arts and Humanities;4
941;111;Business, Management and Accounting;146
942;111;Materials Science;1
943;111;Psychology;45
944;111;Environmental Science;1
945;111;Decision Sciences;1
946;111;Philosophy;2
947;111;Computer Science;2
948;111;Unspecified;40
949;111;Engineering;1
950;111;Biochemistry, Genetics and Molecular Biology;2
951;111;Arts and Humanities;2
952;111;Nursing and Health Professions;1
953;111;Social Sciences;30
954;111;Economics, Econometrics and Finance;7
955;112;Business, Management and Accounting;155
956;112;Economics, Econometrics and Finance;9
957;112;Environmental Science;9
958;112;Unspecified;34
959;112;Biochemistry, Genetics and Molecular Biology;1
960;112;Computer Science;1
961;112;Agricultural and Biological Sciences;1
962;112;Earth and Planetary Sciences;1
963;112;Social Sciences;18
964;112;Psychology;2
965;113;Business, Management and Accounting;264
966;113;Nursing and Health Professions;1
967;113;Psychology;3
968;113;Environmental Science;2
969;113;Energy;1
970;113;Sports and Recreations;1
971;113;Computer Science;13
972;113;Unspecified;67
973;113;Engineering;25
974;113;Design;7
975;113;Arts and Humanities;2
976;113;Chemistry;1
977;113;Earth and Planetary Sciences;2
978;113;Social Sciences;13
979;113;Economics, Econometrics and Finance;38
980;114;Business, Management and Accounting;109
981;114;Psychology;2
982;114;Sports and Recreations;1
983;114;Decision Sciences;2
984;114;Environmental Science;1
985;114;Unspecified;7
986;114;Engineering;1
987;114;Design;1
988;114;Computer Science;2
989;114;Arts and Humanities;4
990;114;Social Sciences;10
